DT_0063	가덕도	35.024	128.81
DT_0032	강화대교	37.731	126.522
DT_0031	거문도	34.028	127.308
DT_0029	거제도	34.801	128.699
DT_0026	고흥발포	34.481	127.342
DT_0049	광양	34.903	127.754
DT_0042	교본초	34.704	128.306
DT_0018	군산	35.975	126.563
DT_0017	대산	37.007	126.352
DT_0065	덕적도	37.226	126.156
DT_0057	동해항	37.494	129.143
DT_0062	마산	35.197	128.576
DT_0023	모슬포	33.214	126.251
DT_0007	목포	34.779	126.375
DT_0006	묵호	37.55	129.116
DT_0025	보령	36.406	126.486
DT_0041	복사초	34.098	126.168
DT_0005	부산	35.096	129.035
DT_0056	부산항신항	35.077	128.786
DT_0061	삼천포	34.924	128.069
DT_0010	서귀포	33.24	126.561
DT_0051	서천마량	36.128	126.495
DT_0022	성산포	33.474	126.927
DT_0093	소무의도	37.373	126.44
DT_0012	속초	38.207	128.594
IE_0061	신안가거초	33.941	124.592
DT_0008	안산	37.192	126.647
DT_0067	안흥	36.674	126.129
DT_0037	어청도	36.117	125.984
DT_0016	여수	34.747	127.765
DT_0092	여호항	34.661	127.469
DT_0003	영광	35.426	126.42
DT_0044	영종대교	37.545	126.584
DT_0043	영흥도	37.238	126.428
IE_0062	옹진소청초	37.423	124.738
DT_0027	완도	34.315	126.759
DT_0039	왕돌초	36.719	129.732
DT_0013	울릉도	37.491	130.913
DT_0130	울릉도(임시)	37.495	130.912
DT_0020	울산	35.501	129.387
DT_0068	위도	35.618	126.301
IE_0060	이어도	32.122	125.182
DT_0001	인천	37.451	126.592
DT_0052	인천송도	37.338	126.586
DT_0024	장항	36.006	126.687
DT_0004	제주	33.527	126.543
DT_0028	진도	34.377	126.308
DT_0021	추자도	33.961	126.3
DT_0050	태안	36.913	126.238
DT_0014	통영	34.827	128.434
DT_0002	평택	36.966	126.822
DT_0091	포항	36.051	129.376
DT_0066	향화도	35.167	126.359
DT_0011	후포	36.677	129.453
DT_0035	흑산도	34.684	125.435
